##BLOCKS= 4																																																																																																	
Plate:	Plate1	1.3	TimeFormat	Endpoint	Absorbance	Raw	FALSE	1						2	450 620 	1	12	96	1	8																																																																													
	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
 	G6	0.058		33.111	 	 	 	 	 																																																																																								
P7	D7	0.069		42.653	39.972	3.792	9.5	10	399.717																																																																																								
 	D8	0.063		37.29	 	 	 	 	 																																																																																								
 	D9	Masked	R	Masked	 	 	 	 	 																																																																																								
P8	B7	0.096		67.466	60.862	8.48	13.9	10	608.622																																																																																								
 	B8	0.078		51.299	 	 	 	 	 																																																																																								
 	B9	0.092		63.822	 	 	 	 	 																																																																																								
P9	E7	0.074		47.442	50.043	2.876	5.7	10	500.43																																																																																								
 	E8	0.076		49.555	 	 	 	 	 																																																																																								
 	E9	0.08		53.132	 	 	 	 	 																																																																																								
P10	C7	0.104		74.829	79.667	4.64	5.8	10	796.669																																																																																								
 	C8	0.11		80.092	 	 	 	 	 																																																																																								
 	C9	0.114		84.08	 	 	 	 	 																																																																																								
P11	F7	0.059		33.855	37.469	4.811	12.8	10	374.685																																																																																								
 	F8	0.061		35.621	 	 	 	 	 																																																																																								
 	F9	0.069		42.93	 	 	 	 	 																																																																																								
P12	C11	0.068		42.1	46.762	4.888	10.5	10	467.622																																																																																								
 	D10	0.073		46.338	 	 	 	 	 																																																																																								
 	D11	0.079		51.849	 	 	 	 	 																																																																																								
P13	G7	0.096		68.012	70.073	1.867	2.7	10	700.733																																																																																								
 	G8	0.1		71.65	 	 	 	 	 																																																																																								
 	G9	0.099		70.559	 	 	 	 	 																																																																																								
P14	E10	0.085		58.073	57.705	3.306	5.7	10	577.054																																																																																								
 	E11	0.088		60.812	 	 	 	 	 																																																																																								
 	F10	0.081		54.231	 	 	 	 	 																																																																																								
P15	B10	0.11		80.636	71.339	8.578	12	10	713.388																																																																																								
 	B11	0.098		69.649	 	 	 	 	 																																																																																								
 	C10	0.091		63.731	 	 	 	 	 																																																																																								
																																																																																																	
Group Column	Formula Name	Formula	Precision	Notation																																																																																													
1	Sample	!SampleNames	2 decimal places	Numeric																																																																																													
2	Wells	!WellIDs	2 decimal places	Numeric																																																																																													
3	Value	!WellValues	3 decimal places	Numeric																																																																																													
4	R	"If (Value>=MinStd@Standards and Value<=MaxStd@Standards,"""",""R"")"	3 decimal places	Numeric																																																																																													
5	Result	"InterpX(Std@StandardCurve,Value)"	3 decimal places	Numeric																																																																																													
6	MeanResult	Average(Result)	3 decimal places	Numeric																																																																																													
7	SD	Stdev(Result)	3 decimal places	Numeric																																																																																													
8	CV	Cv(Result)	1 decimal places	Numeric																																																																																													
9	Dilution	!Factor	1 decimal places	Numeric																																																																																													
10	AdjResult	MeanResult*!Factor	3 decimal places	Numeric																																																																																													
																																																																																																	
Group Summaries																																																																																																	
InRange	R - Outside standard range			0 decimal places	Numeric Notation 																																																																																												
MeanResult	Mean Adjusted Result:	418.57	Average(AdjResult)	2 decimal places	Numeric Notation 																																																																																												
~End 																																																																																																	
Group: Control																																																																																																	
Sample	Wells	Sample#	Values	MeanValue	Results	Mean	SD	CV																																																																																									
1	F11	1	0.939	0.907	880.296	846.847	32.749	3.867																																																																																									
 	G10	 	0.906	 	845.4	 	 	 																																																																																									
 	G11	 	0.877	 	814.846	 	 	 																																																																																									
																																																																																																	
Group Column	Formula Name	Formula	Precision	Notation																																																																																													
1	Sample	!SampleNames	2 decimal places	Numeric																																																																																													
2	Wells	!WellIDs	2 decimal places	Numeric																																																																																													
3	Sample#	Index	0 decimal places	Numeric																																																																																													
4	Values	!WellValues	3 decimal places	Numeric																																																																																													
5	MeanValue	Average(Values)	3 decimal places	Numeric																																																																																													
6	Results	"InterpX(Std@StandardCurve,Values)"	3 decimal places	Numeric																																																																																													
7	Mean	Average(Results)	3 decimal places	Numeric																																																																																													
8	SD	Stdev(Results)	3 decimal places	Numeric																																																																																													
9	CV	Cv(Results)	3 decimal places	Numeric																																																																																													
																																																																																																	
Group Summaries																																																																																																	
~End 																																																																																																	
Original Filename: assay 2; Date Last Saved: 10/4/2017 2:05:49 PM																																																																																																	
